Age,Education,Marital Status,Parental_Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total_Promo,NumWebVisitsMonth
72,4,1,1,2,72550.0,1319,5089,39,826,50,317,50,38,38,5,2,12,9,0,8
69,2,0,1,1,65486.0,507,4243,29,245,19,125,37,67,14,4,2,10,1,0,2
62,3,1,0,0,79143.0,1693,5000,2,650,37,556,27,81,32,6,9,13,1,0,3
49,2,0,1,1,35790.0,72,4915,54,12,6,20,30,1,3,2,0,3,2,0,7
49,2,0,0,0,82582.0,1617,4395,54,510,81,550,120,40,126,4,9,7,1,2,1
48,2,1,1,2,66373.0,606,4607,57,328,9,124,12,24,109,4,2,10,7,0,3
71,3,1,0,0,82384.0,1957,4989,55,984,51,432,120,81,126,3,10,13,1,1,1
60,2,0,0,0,70287.0,1093,4912,30,295,35,482,120,81,40,5,5,10,1,0,3
38,2,0,1,1,27938.0,29,4464,31,13,0,8,2,1,5,1,0,4,1,0,3
44,2,0,1,1,,46,4779,57,11,3,22,2,2,6,2,0,3,2,0,6
58,4,1,1,1,55954.0,518,4520,63,447,0,28,0,0,43,8,2,6,3,0,7
44,3,0,0,0,75777.0,1438,4850,12,712,26,538,69,13,80,3,6,11,1,2,1
51,2,1,1,2,66653.0,612,5122,18,452,18,102,16,18,6,4,2,12,4,0,3
74,2,0,1,1,61823.0,884,4898,26,523,7,134,37,14,126,8,2,10,4,0,7
75,4,0,1,1,67680.0,606,4637,8,546,0,48,0,6,6,7,3,8,1,0,5
78,2,1,0,0,70666.0,1076,4784,29,398,40,367,119,81,30,7,4,4,1,0,4
55,2,1,1,1,25721.0,34,4806,75,1,3,6,3,6,15,1,1,2,1,0,7
59,2,1,1,2,32474.0,11,4273,0,10,0,1,0,0,0,1,0,2,1,0,7
47,1,0,1,1,88194.0,1274,4504,19,688,14,309,120,24,38,11,10,10,1,2,5
68,2,1,1,1,69096.0,653,4677,4,247,49,159,7,81,109,5,2,10,1,0,4
56,2,1,1,3,74854.0,1562,4731,90,856,59,487,58,29,73,2,5,5,7,0,5
72,3,1,0,0,66991.0,1253,4999,1,496,36,460,120,60,12,4,8,6,3,0,3
53,1,1,1,1,,109,5055,25,25,3,43,17,4,17,3,0,3,3,0,8
67,2,1,1,1,65031.0,863,4871,29,258,81,291,84,37,86,10,3,13,4,0,7
51,4,1,1,2,60631.0,661,4823,88,565,6,65,0,6,19,9,2,8,5,1,7
74,2,1,0,0,28332.0,65,4462,58,14,10,13,4,15,9,2,1,4,1,0,2
49,2,0,1,1,40246.0,13,4959,68,2,1,6,2,1,1,1,0,2,1,0,6
54,3,1,0,0,75251.0,1890,5073,34,721,81,556,97,18,18,7,6,5,1,0,5
50,2,0,0,0,75825.0,2209,4968,40,1032,81,556,120,81,51,5,8,9,0,1,4
50,1,1,0,0,26326.0,18,4848,12,1,0,5,0,3,9,0,0,3,1,0,3
61,2,1,0,0,56046.0,692,4915,9,577,0,64,0,0,51,10,1,8,2,1,8
41,2,0,1,1,29760.0,165,5071,87,64,4,68,7,5,17,3,1,4,4,0,8
57,2,1,1,1,26304.0,16,4773,5,4,1,5,2,0,4,1,0,2,1,0,7
53,1,1,1,1,23559.0,79,4881,87,25,5,19,7,0,23,3,0,3,3,0,7
63,3,1,0,0,38620.0,318,4638,56,112,17,44,34,22,89,2,5,3,1,0,3
39,2,0,0,0,81361.0,778,4526,18,163,23,424,27,65,76,3,10,13,1,0,1
66,2,1,1,2,29440.0,56,4635,95,17,8,14,10,4,3,1,0,4,2,0,7
56,3,1,1,2,36138.0,151,4750,48,130,0,16,0,0,5,3,1,4,5,1,7
69,2,0,1,1,50388.0,372,4434,3,292,6,37,0,3,34,6,1,6,4,2,7
53,2,1,0,0,79593.0,1366,4243,70,350,60,556,110,81,126,5,6,7,1,1,2
59,2,1,1,1,54178.0,194,4561,79,135,9,39,4,0,7,2,2,5,1,0,2
69,4,1,1,3,,603,4989,4,230,42,192,49,37,53,7,2,8,12,0,9
69,2,0,1,2,,18,4435,45,7,0,8,2,0,1,1,0,2,1,0,7
53,3,1,0,0,,985,4620,87,445,37,359,98,28,18,2,4,8,1,0,1
54,3,0,1,1,42394.0,32,4500,69,15,2,10,0,1,4,1,0,3,1,0,7
56,4,1,1,1,23626.0,43,4438,84,27,2,14,0,0,0,3,1,3,3,0,5
43,2,1,1,1,30096.0,45,4440,30,5,3,11,12,5,9,2,0,3,1,0,6
66,2,0,1,1,47916.0,606,4986,72,505,0,26,0,0,75,7,4,6,5,1,6
54,2,0,1,2,51813.0,63,4639,37,51,2,7,0,1,2,2,0,3,2,0,7
75,1,1,0,0,78497.0,978,4935,44,207,26,447,75,0,126,5,7,12,1,1,2
43,4,1,0,0,50150.0,410,4776,32,135,46,92,65,61,11,5,2,7,2,0,5
66,1,0,1,1,47823.0,72,4743,0,53,1,5,2,1,10,2,0,3,2,0,8
67,4,0,1,1,34554.0,55,4493,43,41,1,6,2,0,5,2,0,3,2,0,6
47,2,1,1,1,85693.0,1169,4837,59,386,81,183,120,81,111,9,5,11,2,0,5
81,4,1,0,0,65846.0,1120,4810,68,562,81,276,80,40,81,6,3,6,1,0,4
67,2,1,0,0,87195.0,1097,4365,35,217,76,556,50,26,38,3,11,5,1,0,1
47,0,1,1,1,24594.0,29,4662,94,1,3,6,10,0,9,1,0,3,1,0,5
62,2,1,1,2,49096.0,187,4680,15,144,1,32,2,1,7,4,1,4,4,0,7
57,2,1,1,2,52413.0,910,4914,56,295,81,271,75,81,65,6,4,12,4,0,6
48,2,0,1,1,38557.0,145,4959,17,76,3,31,4,4,27,3,1,3,2,0,7
66,3,1,0,0,89058.0,850,5119,18,454,81,106,31,22,43,5,4,4,1,0,2
47,2,1,1,1,77298.0,969,4905,46,425,81,292,23,35,79,6,6,11,1,0,3
35,4,0,0,0,68126.0,1820,5028,40,1225,17,311,23,51,86,7,4,5,1,1,9
63,3,1,1,1,57288.0,608,4406,27,527,0,21,0,0,60,8,1,8,3,1,6
35,2,0,0,0,86037.0,730,4915,95,490,44,125,29,20,22,6,7,11,1,2,3
46,4,1,1,1,43974.0,551,4966,19,378,0,101,0,0,72,6,4,6,5,0,7
64,2,0,1,2,50785.0,114,4665,27,64,1,21,0,1,27,2,1,3,2,0,6
56,2,1,0,0,90765.0,1724,4558,25,547,81,556,120,81,33,4,6,5,0,2,1
48,1,1,1,1,36550.0,577,4897,74,47,81,94,120,81,120,9,1,5,5,0,9
59,1,1,1,2,30753.0,81,4636,85,12,5,25,0,9,30,1,1,3,2,0,5
57,2,1,1,1,21918.0,33,4629,37,1,6,7,11,5,3,2,0,3,2,0,6
73,3,1,1,1,56129.0,660,4776,65,320,48,133,39,72,48,6,2,10,4,0,4
59,3,0,1,1,32557.0,80,4527,13,34,3,29,0,4,10,2,1,3,3,0,5
41,3,1,1,2,19510.0,30,4848,63,9,0,7,3,4,7,1,0,3,2,0,7
50,2,0,1,1,30992.0,43,4835,83,17,0,14,7,3,2,1,0,3,1,0,7
43,2,0,0,0,101970.0,1135,4610,69,722,27,102,44,72,126,6,8,13,0,3,2
61,1,1,0,0,71488.0,559,4898,87,162,33,124,40,28,126,3,4,7,2,0,1
42,2,0,0,0,79607.0,1923,4836,37,450,81,556,120,0,126,3,6,6,1,0,1
73,3,1,1,2,54348.0,90,4364,51,70,0,16,0,0,4,2,0,4,2,0,6
65,4,1,1,1,,404,4636,23,352,0,27,10,0,15,6,1,7,3,0,6
70,4,1,1,2,77376.0,661,4304,72,492,19,110,16,12,12,6,3,10,4,0,4
74,2,1,1,1,62998.0,463,4674,10,120,58,73,65,81,58,5,4,5,5,0,5
68,3,0,1,2,61331.0,632,4671,42,534,5,47,0,5,41,11,1,6,5,0,8
57,2,1,0,0,73448.0,725,4307,10,236,81,189,23,41,126,7,2,9,1,0,4
63,2,1,1,1,,725,4635,96,231,65,196,38,71,124,6,5,7,1,0,4
62,4,1,1,2,41551.0,279,4721,51,220,0,33,3,0,23,5,1,5,5,0,8
59,4,1,0,0,62981.0,1482,4871,21,796,14,556,38,44,0,4,5,13,1,1,3
50,0,0,1,1,9548.0,29,5092,31,0,1,3,10,6,9,1,0,3,2,0,8
67,4,1,1,3,33762.0,106,4759,61,53,1,34,2,0,16,2,2,2,3,0,8
53,4,0,1,2,35860.0,49,4443,37,15,0,8,4,2,20,1,1,2,2,1,5
61,4,0,1,2,36921.0,38,4738,74,17,1,12,3,1,4,2,0,3,2,0,7
34,3,0,0,0,92859.0,2077,5020,46,962,61,556,52,61,20,5,4,12,1,0,2
50,3,1,1,1,65104.0,1053,4629,4,738,0,232,13,20,50,3,5,7,2,0,7
64,2,1,0,0,86111.0,1385,4838,73,399,28,556,36,40,126,5,7,10,1,0,2
52,4,0,1,1,68352.0,871,4707,47,614,16,132,43,33,33,8,5,9,3,0,6
38,2,1,1,1,41883.0,312,4869,13,32,34,41,73,16,116,4,2,3,3,0,7
50,2,1,1,2,59809.0,877,5021,36,598,16,141,32,41,49,3,3,6,3,0,8
51,2,1,1,1,23957.0,68,5011,47,2,1,18,20,11,16,2,0,3,1,0,6
45,2,1,1,1,38547.0,22,4707,49,6,1,10,0,1,4,1,0,2,1,0,8
53,1,1,1,3,35688.0,211,5078,94,73,3,90,12,1,32,4,1,4,7,0,8
60,3,1,0,0,49605.0,127,4410,65,42,16,29,12,20,8,2,1,4,1,0,3
73,3,1,1,2,59354.0,459,4468,59,295,21,78,39,13,13,4,4,7,1,0,3
57,2,1,1,1,65747.0,460,4398,96,346,17,48,23,13,13,8,1,6,4,1,6
54,1,1,1,1,46344.0,429,4964,28,233,20,57,8,20,91,7,1,5,4,0,7
38,2,0,1,1,34176.0,89,4243,12,5,7,24,19,14,20,3,0,4,4,0,6
74,4,1,1,1,61010.0,1021,5059,57,888,0,57,0,0,76,8,5,11,2,0,5
77,2,1,0,0,69372.0,1381,4897,10,997,26,269,34,13,42,10,4,6,1,2,4
68,2,0,1,1,49967.0,306,4728,4,212,6,69,4,12,3,6,1,5,3,0,7
48,2,0,1,3,60199.0,18,4604,49,8,1,7,2,0,0,0,0,3,1,0,4
49,2,1,1,1,55375.0,162,4657,3,42,11,57,10,28,14,1,1,6,1,0,2
71,2,0,0,0,80317.0,1231,4715,64,536,11,387,120,81,57,3,4,10,1,0,1
68,3,0,1,3,30523.0,13,4940,0,5,0,3,0,0,5,1,0,2,1,0,7
81,4,1,0,0,70356.0,1706,5181,20,1225,16,249,43,16,33,10,6,9,2,0,6
42,2,1,1,1,23228.0,121,4461,91,53,3,49,7,4,5,3,0,4,4,0,8
51,4,0,0,0,74165.0,1293,4942,9,1001,12,240,16,12,12,5,4,10,1,0,2
53,4,1,1,1,118350.5,1608,4579,98,20,2,556,1,2,1,0,22,0,15,0,0
60,2,1,1,3,43482.0,88,4630,83,18,1,32,6,3,28,2,0,4,3,0,6
73,2,0,0,0,62551.0,421,4625,27,125,16,98,120,21,27,6,7,4,1,1,3
67,2,0,0,0,52332.0,259,4707,63,212,5,33,7,0,2,3,2,6,1,1,4
38,2,0,0,0,66951.0,1117,4905,46,277,81,305,120,76,124,3,4,7,1,0,1
69,2,1,1,2,26091.0,89,4526,84,15,10,19,8,17,20,2,1,3,3,0,5
61,2,1,1,2,33456.0,36,4471,58,7,3,10,8,1,7,1,0,3,2,0,7
44,2,1,1,1,28718.0,57,4753,78,12,4,6,11,8,16,2,0,3,2,0,8
56,2,1,1,2,50447.0,148,4471,4,85,7,24,2,3,27,3,1,3,1,0,6
67,4,1,1,2,53537.0,93,4552,17,81,0,6,0,0,6,2,1,3,2,0,5
59,2,0,1,1,52074.0,119,4488,77,59,0,12,0,0,48,2,2,2,1,1,4
51,4,1,1,1,80427.0,1835,4969,56,1149,71,449,69,71,26,11,8,8,1,0,5
78,4,1,0,0,83837.0,1318,4962,79,847,66,119,86,81,111,9,10,5,1,2,4
56,4,1,1,2,38853.0,45,4439,90,29,0,14,0,0,2,2,0,3,2,0,7
67,2,1,1,3,38285.0,10,4407,96,2,0,5,2,0,1,0,0,3,1,0,2
75,1,1,0,0,78497.0,978,4935,44,207,26,447,75,0,126,5,7,12,1,1,2
50,4,1,1,1,51650.0,191,4273,81,152,3,22,2,5,7,4,1,4,1,0,5
38,1,1,1,1,16248.0,57,4304,77,12,11,10,3,12,9,2,1,3,3,0,6
80,3,1,0,0,66835.0,1033,4676,21,620,26,195,34,17,126,6,4,13,1,0,2
42,3,1,1,1,30477.0,66,4560,16,47,1,6,0,0,12,1,1,3,1,0,6
65,0,1,0,0,28249.0,43,4416,80,1,9,7,2,14,10,2,0,3,1,0,6
43,2,1,1,1,25271.0,50,5180,45,10,1,18,10,4,7,1,1,2,1,0,9
56,4,0,1,1,32303.0,39,4367,63,35,0,2,0,0,2,1,0,4,2,0,5
60,2,1,1,1,61286.0,608,4908,34,356,0,107,19,9,117,7,1,8,2,0,5
50,2,1,0,0,74068.0,1581,4869,14,783,30,537,120,76,15,4,10,9,1,0,2
62,4,1,1,2,45759.0,68,4893,13,42,1,18,3,0,4,2,0,3,2,0,7
48,0,1,1,1,24882.0,80,5060,52,1,4,10,29,0,36,1,1,2,1,1,6
37,4,1,0,0,66973.0,1282,4810,98,466,22,432,120,81,102,8,7,12,1,0,3
94,1,0,1,1,36640.0,65,4678,99,15,6,8,7,4,25,2,1,2,1,0,5
38,2,1,1,1,38872.0,91,4797,93,23,3,21,3,19,22,3,0,3,2,0,8
53,2,1,1,2,51148.0,315,4898,38,235,6,45,8,9,12,5,1,6,4,0,6
49,2,1,1,2,31353.0,31,4584,24,10,0,10,3,1,7,1,1,2,2,0,8
46,3,1,0,0,69661.0,834,4449,80,656,16,106,32,16,8,7,3,12,1,0,3
72,2,1,0,0,80067.0,1600,4685,82,519,17,556,27,81,51,4,6,6,1,1,2
72,2,1,0,0,86718.0,1270,4930,20,344,81,482,50,33,126,5,6,5,1,0,2
53,4,0,1,2,46854.0,263,4492,81,96,1,79,7,1,79,5,1,3,6,1,8
74,2,0,1,1,69142.0,535,4402,50,448,4,34,6,4,39,8,1,7,3,1,5
58,2,0,0,0,75922.0,1295,4692,60,265,81,553,120,23,92,4,4,9,1,0,1
48,2,0,1,1,63693.0,1150,4660,63,587,43,337,42,81,54,11,6,9,3,0,6
49,4,1,0,0,102160.0,1240,5271,54,763,29,138,76,81,58,7,9,10,0,3,4
61,4,0,1,2,40637.0,38,4749,72,22,0,13,0,0,3,1,0,3,2,0,7
42,3,0,0,0,18890.0,35,5028,5,6,4,1,7,2,15,0,1,2,1,1,6
38,2,1,1,1,29604.0,53,4723,88,7,6,13,7,6,14,1,0,3,1,1,9
63,3,0,1,2,48721.0,293,4814,50,81,18,113,47,13,21,4,2,5,6,0,6
60,2,1,1,1,44794.0,65,4364,99,54,0,7,0,0,4,2,0,3,1,0,6
72,2,0,1,1,64497.0,1804,5030,17,1170,48,320,42,32,126,11,4,9,5,1,8
70,2,1,1,1,46097.0,241,4857,11,72,24,68,65,4,8,3,1,6,5,0,4
72,2,1,0,0,77972.0,1101,4505,18,613,22,319,33,81,12,4,6,9,1,0,1
58,4,1,1,2,44377.0,264,5182,70,224,0,30,0,0,10,5,1,5,8,0,8
52,3,1,1,2,46014.0,541,4926,21,410,0,59,19,9,44,7,1,8,10,0,7
41,2,1,0,0,70951.0,1198,4852,66,239,10,554,120,81,54,3,4,9,1,0,1
49,2,1,1,1,41443.0,482,4578,79,171,7,171,25,19,89,8,1,5,6,0,8
48,1,0,1,3,52195.0,17,4243,2,12,0,4,0,0,1,1,0,2,1,0,8
78,3,1,0,0,83790.0,1615,4628,81,1076,16,417,42,48,16,8,10,6,1,2,3
72,3,0,1,1,44551.0,285,4704,24,182,4,33,0,0,66,4,1,5,2,0,7
46,2,1,1,1,69508.0,1135,4994,48,824,32,162,42,32,43,11,4,11,2,0,6
38,1,1,1,1,45204.0,114,4274,93,30,11,25,29,1,18,1,1,4,1,0,3
57,2,1,0,0,72460.0,1047,4629,56,377,10,540,80,30,10,3,5,7,1,0,1
56,4,1,1,2,77622.0,714,4478,3,520,7,154,19,0,14,6,3,11,2,0,3
46,4,1,1,1,30732.0,185,4826,44,155,1,25,0,1,3,4,1,4,4,0,8
64,2,0,1,1,63887.0,1245,5091,38,897,23,207,15,11,92,9,6,12,5,0,6
48,2,1,1,1,42011.0,189,4862,46,131,0,16,2,1,39,3,1,4,4,0,8
50,2,1,1,1,51369.0,576,5014,84,297,7,79,0,11,126,8,2,4,2,0,8
74,2,0,1,1,51537.0,1103,5057,27,787,20,204,0,0,92,2,2,11,3,0,8
54,4,1,0,0,79930.0,1753,5092,72,792,81,556,67,51,17,3,5,8,1,0,2
40,4,1,1,1,34320.0,17,4535,66,4,1,9,3,0,0,1,0,2,1,0,8
60,2,0,1,2,37070.0,433,4868,30,231,7,137,4,15,39,5,1,8,9,0,7
64,1,0,1,1,81975.0,1588,4826,2,983,76,184,120,81,27,6,3,4,1,1,7
55,2,1,1,1,38590.0,22,4812,65,3,1,8,4,3,3,1,0,2,1,0,8
75,2,0,0,0,15033.0,19,4476,37,0,4,5,6,0,4,1,0,3,1,0,3
61,4,1,1,1,62745.0,1117,4865,89,562,21,464,28,10,32,7,8,11,3,0,5
51,1,1,1,1,22212.0,69,4692,49,5,9,20,6,8,21,2,0,4,2,0,6
44,3,1,1,1,23661.0,23,4845,46,18,0,4,0,0,1,1,0,3,1,0,7
68,4,0,1,1,79761.0,605,4847,32,415,5,124,15,35,11,5,2,11,1,0,3
53,2,0,1,1,7500.0,57,4587,54,5,3,10,12,7,20,3,1,3,4,0,7
94,1,0,1,1,60182.0,22,4445,23,8,0,5,7,0,2,1,0,2,1,0,4
58,2,0,0,0,73455.0,2088,4646,98,901,61,556,120,81,20,6,5,10,1,1,3
68,2,1,1,1,64961.0,1009,4955,97,382,81,276,75,81,38,6,4,4,2,0,3
55,2,0,1,1,22804.0,26,4735,75,14,1,7,2,1,1,2,0,2,1,0,9
36,2,1,0,0,73687.0,1627,4615,8,559,81,503,120,13,126,3,9,9,1,1,2
68,2,1,1,1,61074.0,1102,5083,37,789,0,133,0,28,126,11,5,8,7,0,7
62,4,1,1,2,31686.0,17,4456,31,11,0,5,0,0,1,1,0,3,2,0,6
54,2,1,1,1,80134.0,1690,4807,40,1218,16,272,104,0,80,5,3,6,2,3,6
73,2,1,1,1,75027.0,1390,4703,74,925,64,179,120,12,77,9,4,6,2,0,5
38,4,1,0,0,67546.0,2126,5069,90,864,81,556,120,38,126,4,10,5,1,0,3
57,3,1,1,1,65176.0,1531,5010,57,960,28,183,120,70,70,9,6,6,4,0,6
51,3,0,1,1,31160.0,64,4688,59,16,3,25,6,1,13,2,0,3,2,0,8
41,2,0,1,1,29938.0,26,4647,52,3,3,7,0,2,11,1,0,3,2,0,6
52,2,0,0,0,102692.0,1112,4823,5,168,81,444,32,81,126,6,9,13,1,4,2
68,1,1,0,0,26490.0,210,5047,92,45,47,52,21,20,25,3,1,5,2,0,6
59,2,1,1,2,75702.0,1148,5071,77,650,28,353,45,42,30,4,6,11,5,0,8
52,4,0,1,1,30899.0,33,5026,35,24,0,8,0,0,1,1,0,3,2,0,6
65,4,1,1,1,63342.0,1101,5023,48,918,21,118,13,10,21,8,3,5,3,1,6
62,2,0,1,1,45989.0,322,5017,97,138,33,87,28,24,12,3,2,7,4,0,3
62,2,0,1,2,18701.0,44,4851,95,12,4,2,10,6,10,2,0,4,4,0,5
69,4,0,1,3,40737.0,17,4723,24,11,0,4,0,0,2,1,0,2,1,0,8
47,2,0,1,1,15287.0,31,5029,60,1,2,8,4,3,13,1,1,2,2,1,7
58,4,0,1,2,69674.0,845,4805,46,554,41,215,11,0,24,10,2,10,3,0,5
56,3,1,1,1,44159.0,275,4414,85,167,2,62,24,13,7,4,1,6,4,0,5
48,4,1,1,1,37717.0,25,4985,31,9,0,6,4,1,5,1,0,2,1,0,9
74,3,1,1,2,43776.0,275,4886,9,177,2,71,3,2,20,5,2,4,6,0,8
60,3,1,1,2,38179.0,90,4874,30,38,4,22,4,2,20,3,1,3,4,0,7
63,2,1,0,0,80124.0,1495,4405,47,483,81,398,120,81,126,3,7,8,1,1,1
56,4,1,1,2,38097.0,184,5024,70,77,2,35,0,1,69,3,2,2,4,1,7
56,2,1,0,0,72940.0,981,4777,13,182,74,298,120,81,116,3,3,6,1,0,1
56,2,1,1,1,22070.0,67,4847,11,10,7,19,8,2,21,2,2,2,2,0,6
73,2,0,0,0,69267.0,1635,5047,31,778,44,499,95,73,126,3,4,5,2,0,7
43,3,0,1,1,31788.0,60,4503,15,16,7,23,0,8,6,3,0,4,3,0,5
51,4,1,1,1,61905.0,231,4490,2,167,0,43,6,2,13,4,2,4,2,0,5
66,2,1,1,2,29315.0,48,4427,55,13,2,14,8,7,4,2,0,4,4,0,6
63,2,0,1,2,33378.0,99,4794,38,33,6,40,3,7,10,2,0,4,3,0,7
63,4,1,1,1,66313.0,770,4688,86,625,7,99,10,22,7,6,3,12,2,0,4
70,2,0,0,0,60714.0,957,4930,56,216,81,224,101,81,126,7,4,10,2,0,5
45,3,1,0,0,77882.0,818,4462,29,68,81,396,120,22,15,3,3,5,1,0,1
40,4,0,0,0,69867.0,925,4912,30,196,0,512,33,81,54,3,5,8,1,1,1
58,3,0,1,1,63841.0,908,4836,64,635,15,100,20,7,126,9,3,9,1,0,6
45,0,1,1,1,24480.0,102,4641,46,4,19,9,28,25,17,3,0,4,3,0,7
50,2,1,1,1,51369.0,576,5014,84,297,7,79,0,11,126,8,2,4,2,0,8
80,2,1,0,0,37760.0,317,5069,20,84,5,38,120,12,28,4,1,6,2,0,7
52,4,1,1,1,65640.0,461,4579,74,204,7,149,20,15,66,5,1,8,1,0,2
51,3,1,1,2,44319.0,37,4475,18,26,0,8,0,0,3,2,0,3,2,0,5
52,2,1,1,1,30631.0,70,4606,75,15,6,20,4,5,20,3,1,2,1,0,7
74,2,1,0,0,75278.0,930,4918,17,304,81,230,120,74,74,6,3,13,1,0,3
70,3,1,1,2,50898.0,859,4734,88,285,28,242,55,81,126,6,2,12,13,0,5
60,2,0,0,0,79946.0,1478,4243,19,395,81,556,120,81,28,5,11,5,1,0,3
77,3,0,0,0,35416.0,390,4783,62,248,3,81,4,3,51,7,1,5,3,0,8
42,1,1,0,0,32414.0,52,4850,11,20,6,5,0,9,12,1,0,3,1,1,7
57,2,1,1,1,38361.0,137,4586,74,39,0,56,20,8,14,3,1,3,3,0,7
46,2,1,0,0,82497.0,1919,5008,32,777,81,556,120,21,126,2,7,9,1,1,4
55,2,1,1,2,16626.0,68,4567,76,8,3,22,21,1,13,3,0,3,3,0,9
61,2,1,1,2,29672.0,25,4610,6,9,1,3,0,4,8,0,0,3,1,0,6
74,3,1,1,1,55951.0,1374,5077,62,1225,0,80,0,13,40,3,6,11,3,2,8
38,1,0,1,1,35388.0,32,4763,20,6,4,7,4,3,8,1,0,3,1,0,7
40,3,1,1,1,42386.0,100,4934,43,65,4,16,0,4,11,3,0,3,1,0,8
